============================================================
FINAL METRICS (Best Model)
============================================================
mAP50-95:  0.6127
mAP50:     0.7413
mAP75:     0.6666
Precision: 0.8799
Recall:    0.7071

Per-class Precision:
  player          0.9777
  ball            0.7821

Per-class Recall:
  player          0.9834
  ball            0.4308

Per-class mAP50:
  player          0.9896
  ball            0.4930

Per-class mAP50-95:
  player          0.9176
  ball            0.3079
============================================================
